sa2_code,sa2_name,dhb,dose1_uptake_perc,dose2_uptake_perc
155200,Redcastle,Counties Manukau,92.5,82.5
155300,Botany East,Counties Manukau,97.5,87.5
155400,Botany South,Counties Manukau,92.5,87.5
155500,Manukau Central,Counties Manukau,87.5,72.5
155600,Papatoetoe East,Counties Manukau,92.5,82.5
155700,Otara South,Counties Manukau,77.5,62.5
155800,Ferguson,Counties Manukau,77.5,62.5
155900,Papatoetoe South West,Counties Manukau,92.5,77.5
156000,Botany Junction,Counties Manukau,82.5,72.5
156100,Dannemora North,Counties Manukau,92.5,87.5
156200,Papatoetoe South,Counties Manukau,92.5,87.5
